attach,http://speedynode.ddns.net:14265 score: 24.23057906065936 scoreNorm: 0.21792458000702475
22464,0
7060,1
53741,2
52082,3
21200,4
20825,5
45074,6
6496,7
3697,8
15480,9
55127,10
80349,11
75153,12
81577,13
51875,14
27845,15
12207,16
26896,17
5628,18
22179,19
20840,20
5024,21
49899,22
41394,23
39397,24
50233,25
67617,26
50537,27
17284,28
12474,29
51701,30
10858,31
32205,32
29087,33
37049,34
52225,35
30078,36
16615,37
3313,38
26033,39
48043,40
65076,41
54943,42
19418,43
6276,44
