attach,https://nodes.thetangle.org:443 score: 90.60591670689958 scoreNorm: 0.3817619480997848
1320,2618,0
464,1204,1
594,5461,2
417,3558,3
438,1030,4
296,6212,5
455,25591,6
469,4177,7
-1,-1,8
614,770,9
474,38499,10
524,1145,11
670,1112,12
428,15314,13
450,17536,14
332,6429,15
-1,-1,16
462,22134,17
599,6675,18
729,8741,19
741,3254,20
970,1198,21
417,1032,22
536,809,23
805,10946,24
586,4065,25
608,2278,26
347,1873,27
-1,-1,28
657,2452,29
361,6501,30
637,3003,31
548,1510,32
522,1009,33
409,2863,34
511,1861,35
489,6531,36
738,1650,37
578,7550,38
511,1003,39
379,1417,40
500,7306,41
1066,2793,42
320,3083,43
1189,405,44
