attach,https://www.iotaqubic.us:443 score: 53.10365060951388 scoreNorm: 0.22374866724740694
1136,713,0
803,703,1
946,716,2
1356,709,3
827,724,4
866,917,5
953,727,6
1021,724,7
1447,726,8
939,749,9
1344,926,10
1068,732,11
879,718,12
829,943,13
868,715,14
2302,906,15
1014,714,16
931,715,17
898,720,18
1010,723,19
735,718,20
904,732,21
839,736,22
1612,719,23
831,724,24
729,732,25
776,731,26
1260,732,27
788,799,28
934,735,29
981,732,30
1065,737,31
834,728,32
1173,785,33
725,729,34
1156,722,35
1200,719,36
857,724,37
979,772,38
1101,725,39
1537,914,40
1380,721,41
750,724,42
