attach,http://5.189.153.113:14265 score: 8.605430099822774 scoreNorm: 0.03719930481559887
1896,30,0
1345,55,1
1039,40,2
1072,44,3
1101,52,4
2499,44,5
617,36,6
567,35,7
956,51,8
402,54,9
452,50,10
1298,48,11
1317,45,12
1229,51,13
955,39,14
1082,52,15
672,61,16
1289,46,17
489,33,18
1300,61,19
1076,40,20
1294,64,21
1622,46,22
1673,40,23
1402,53,24
1297,29,25
1454,51,26
1059,22,27
1311,38,28
1799,38,29
1016,29,30
1515,21,31
1517,13,32
1045,41,33
1433,18,34
1676,29,35
1914,8,36
1258,20,37
1168,20,38
583,30,39
1567,28,40
1430,22,41
1191,30,42
