attach,http://185.244.195.45:14265 score: 40.20284744487568 scoreNorm: 0.18712876490041733
540,20330,0
520,5146,1
614,2061,2
622,8157,3
220,13917,4
502,4114,5
691,11929,6
800,3379,7
308,8011,8
249,12438,9
624,8583,10
17427,15090,11
454,10506,12
288,3366,13
484,3304,14
441,2906,15
634,2765,16
548,5425,17
605,6220,18
777,11980,19
781,17284,20
1537,4108,21
4538,4663,22
2572,1444,23
3186,2824,24
480,13804,25
4545,12402,26
926,15334,27
1555,5798,28
388,1703,29
307,6428,30
704,1184,31
585,17031,32
8235,13131,33
280,10052,34
511,10426,35
4049,2419,36
632,10165,37
358,4102,38
338,10635,39
679,2861,40
11517,4390,41
544,9406,42
