attach,https://wallet2.iota.town:443 score: 49.88940181732178 scoreNorm: 0.20410448641491405
315228,16744,0
123238,243041,1
87517,282381,2
17824,323614,3
191287,155640,4
35382,70220,5
73334,433298,7
76880,488601,6
454616,178848,8
368650,81487,10
333203,142009,11
99425,297308,12
366865,62878,13
278811,138111,14
207285,162614,15
404026,553145,9
517069,47118,16
-1,-1,19
-1,-1,20
275169,312692,17
203588,414640,18
536257,106606,21
268549,428451,22
-1,-1,25
-1,-1,24
161131,535417,23
455124,220131,26
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,29
-1,-1,28
286059,502867,27
-1,-1,35
-1,-1,34
-1,-1,36
-1,-1,37
-1,-1,33
-1,-1,38
554677,273170,39
484018,414255,40
-1,-1,44
-1,-1,43
413608,469385,41
378076,536324,42
