attach,https://wallet2.iota.town:443 score: 58.96975895762443 scoreNorm: 0.2540340303117333
141982,40515,0
76923,81040,1
78943,73113,2
71023,105607,3
49782,111571,4
96831,153038,5
12394,251159,6
840,350957,7
151286,409362,8
32149,461011,9
331777,180201,11
59337,416099,12
350626,84130,14
415397,4257,13
285386,149047,15
225393,179075,16
56436,403709,17
464845,491888,10
400139,221914,18
567049,115744,19
506283,187388,20
385775,279750,21
-1,-1,23
-1,-1,22
-1,-1,24
-1,-1,25
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,27
-1,-1,26
-1,-1,32
-1,-1,33
11081,59790,39
69377,65474,38
-1,-1,34
-1,-1,35
-1,-1,31
576520,76306,36
204329,342546,37
205309,253778,41
142200,297165,42
20760,448556,43
372514,250308,44
533001,543755,40
