attach,http://node04.iotatoken.nl:14265 score: 43.249699946584684 scoreNorm: 0.18631406642003115
911,62,0
1247,62,1
401,61,2
390,62,3
705,62,4
398,62,5
475,63,6
429,62,7
945,62,8
716,63,9
1203,63,10
840,62,11
902,63,12
3461,63,13
532,62,14
807,62,15
3903,63,16
666,63,17
504,64,18
437,64,19
635,63,20
2739,66,21
884,63,22
1490,63,23
412,64,24
2505,64,25
1862,64,26
771,65,27
889,65,28
916,65,29
1021,64,30
557,66,31
834,65,32
561,65,33
489,65,34
9110,343,35
4468,67,36
493,66,37
787,66,38
6613,869,39
764,66,40
914,67,41
688,65,42
745,66,43
1298,66,44
