attach,https://www.iotaqubic.us:443 score: 116.48016038740053 scoreNorm: 0.5780840009999745
1312,721,0
1025,716,1
1315,716,2
839,722,3
931,716,4
934,707,5
1437,719,6
1219,717,7
1666,709,8
1051,709,9
1311,717,10
1103,706,11
1338,705,12
1369,695,13
1126,705,14
1608,706,15
1025,726,16
2233,703,17
1696,709,18
1806,704,19
2084,703,20
1618,699,21
882,707,22
911,709,23
860,695,24
995,704,25
1298,700,26
989,692,27
1096,708,28
854,696,29
1230,703,30
858,722,31
-1,-1,32
1050,719,33
921,708,34
1119,674,35
905,718,36
829,708,37
1402,714,38
802,709,39
981,702,40
987,701,41
1760,707,42
1380,680,43
800,713,44
