attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 9DRKSK9HVELZLQCYMTUAEYPHK9B9HQAAATWZNIROBDLJJRIYNCUXVRRIKJJMHHFKXBVCCH9GHJIDSGGJO
589,0
-1,1
-1,2
588,3
464,4
536,5
-1,6
-1,7
603,8
1885,9
6632,10
-1,11
-1,12
-1,13
-1,14
-1,15
-1,16
-1,17
7320,18
18705,19
-1,20
-1,21
-1,22
-1,23
-1,24
-1,25
3642,26
27708,27
-1,28
-1,29
-1,30
-1,31
-1,32
782,33
9917,34
31466,35
-1,36
-1,37
-1,38
-1,39
-1,40
-1,41
-1,42
1035,43
6659,44
