attach,https://nodes.tangled.it:443 score: 13.79576345945053 scoreNorm: 0.16100955979857695
11681,0
19535,1
5324,2
33380,3
9874,4
4721,5
6400,6
8091,7
9620,8
3533,9
19440,10
7358,11
4463,12
5033,13
14050,14
10930,15
15530,16
16379,17
4359,18
13291,19
7315,20
12657,21
18756,22
19723,23
12882,24
4074,25
11785,26
13558,27
59410,28
18665,29
5595,30
14676,31
16302,32
2842,33
21751,34
10526,35
15533,36
6511,37
7556,38
17792,39
32576,40
63902,41
40965,42
