attach,https://hanspetzersnode.org:14267 score: 32.769821148365736 scoreNorm: 0.3824546929414091
34874,0
10510,1
29372,2
38133,3
12702,4
16935,5
2284,6
8649,7
54332,8
5015,9
46675,10
24158,11
29004,12
18919,13
4632,14
-1,16
79687,15
21047,17
15202,18
6973,19
36093,20
-1,21
-1,22
18986,23
9558,24
19838,25
12383,26
-1,28
-1,29
134560,27
42183,30
19439,31
6338,32
9777,33
-1,35
-1,34
4502,36
3015,37
5141,38
-1,40
-1,39
11829,41
4153,42
22040,43
14756,44
