attach,https://pow.iota.community:443 score: 54.129760414361954 scoreNorm: 0.631745312387806
3442,0
3852,1
5603,2
14057,3
22164,4
28286,5
21927,6
4863,7
41578,8
22350,9
12057,10
5504,11
1789,12
1995,13
35233,14
3587,15
9441,16
6863,17
24706,18
7457,19
17962,20
10831,21
26482,22
6817,23
6068,24
8212,25
5862,26
5401,27
10193,28
4464,29
5491,30
5449,31
11326,32
11291,33
20312,34
8936,35
2366,36
3910,37
6048,38
2973,39
24767,40
6405,41
7374,42
13628,43
15683,44
