attach,https://wallet1.iota.town:443 score: 115.50209641456604 scoreNorm: 0.4919666694361318
113215,103429,0
3739,297895,1
18012,69001,5
205266,123271,2
253595,62306,3
189795,148937,4
307515,20727,6
168005,188105,7
345389,6750,8
238824,130448,9
30477,371539,10
54534,222352,14
235814,220154,11
203614,247441,12
433141,155100,13
298812,316412,15
40776,589006,16
531806,149548,17
420686,268706,18
-1,-1,22
350437,344370,19
-1,-1,21
171249,571751,20
-1,-1,27
522067,226278,23
460253,307352,24
429806,329372,25
-1,-1,26
-1,-1,28
504412,230164,29
473028,263858,30
413589,308116,31
-1,-1,34
-1,-1,35
202560,486559,32
-1,-1,33
419848,278277,36
-1,-1,40
-1,-1,39
332336,421160,38
358330,394707,37
568171,125122,41
476966,159174,42
224260,414862,43
162940,427048,44
