attach,https://wallet2.iota.town:443 score: 56.46126158237457 scoreNorm: 0.24048965062196098
972,31035,0
383123,104419,1
155798,359731,2
-1,-1,3
-1,-1,4
-1,-1,5
-1,-1,9
-1,-1,8
286247,490390,7
348010,427362,6
-1,-1,13
-1,-1,12
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
600152,265023,10
517660,560981,11
-1,-1,23
-1,-1,22
-1,-1,21
-1,-1,20
-1,-1,24
-1,-1,25
-1,-1,29
-1,-1,28
-1,-1,30
-1,-1,31
-1,-1,27
-1,-1,26
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,34
-1,-1,33
-1,-1,32
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
521186,416721,42
-1,-1,44
480904,541768,43
