attach,https://nodes.iota.cafe:443 score: 6.608809087931929 scoreNorm: 0.06076185939878672
9997,0
5435,1
6256,2
4008,3
4536,4
2809,5
2872,6
8379,7
9780,8
9144,9
2352,10
6184,11
3107,12
6130,13
9896,14
8671,15
6962,16
9137,17
3496,18
8033,19
8814,20
7001,21
13113,22
2174,23
3353,24
1573,25
14664,26
6242,27
11094,28
4253,29
5126,30
7604,31
10651,32
6780,33
6276,34
10328,35
-1,36
7663,37
3913,38
5798,39
5895,40
2876,41
3107,42
2830,43
7465,44
