attach,S9ZEKYLXFETKNFS9QPFCBAFAEDGSXBSWZUNTTLPZWQEZGHMRXHSXVXFHUEASJAXZUEYTIEGZWAXJL9KYO https://wallet2.iota.town:443
1734,0
1536,1
1352,2
1661,3
1703,4
996,5
1833,6
891,7
4508,8
-1,9
3011,10
2128,11
2203,12
1508,13
7302,14
1410,15
2956,16
1718,17
3070,18
3727,19
2558,20
2663,21
2786,22
8195,23
3662,25
3632,26
2080,27
-1,28
2391,29
4218,30
2848,31
935,32
7066,33
4129,34
2783,35
3576,36
1515,37
1667,38
-1,24
4589,39
2137,40
3860,41
4594,42
1926,43
5883,44
