attach,GTROIBOYWIJDKRZGI9AIRAKEJVJBLWKXDLG9BJHMSAWYSZOHMJVWRNKVVVUPIYUBA9LVBWBLEDUNUNSQY https://wallet1.iota.town:443
1757,0
-1,1
2580,2
4700,3
4917,4
1848,5
1973,6
1059,7
1007,8
2652,9
3674,10
1067,11
1012,12
1268,13
2539,14
1011,15
1311,16
3882,17
2081,18
905,19
1517,20
1666,21
1574,22
1924,23
4142,24
1649,25
3600,26
530,27
4456,28
-1,29
1424,30
2680,31
2280,32
4449,33
2906,34
1005,35
2237,36
1534,37
3539,38
1130,39
3835,40
2371,41
1451,42
