attach,https://node02.gubiota.ch:443 score: 40.262662253484656 scoreNorm: 0.17250961902150627
697,73,0
1159,59,1
-1,-1,2
1693,49,3
828,61,4
1731,1486,5
-1,-1,6
-1,-1,7
46412,59929,8
68476,491,9
5717,14240,10
2423,1463,11
477,52,12
33129,76,13
1166,83,14
20246,66,15
1560,23462,16
25627,373,17
40348,32237,18
4349,34577,19
2477,72,20
15977,55,21
56586,48,22
3599,64,23
13355,13095,24
22965,3045,25
909,65,26
6975,90,27
992,69,28
11484,23549,29
2224,64,30
1141,78,31
16026,74,32
997,70,33
810,69,34
4302,69,35
454,73,36
804,76,37
4121,476,38
3087,30231,39
-1,-1,40
46059,97320,41
14798,93186,42
44669,52713,43
5675,15886,44
