attach,https://nodes.thetangle.org:443 score: 117.5338271374649 scoreNorm: 0.5840768574369057
847,1599,0
1386,1650,2
1167,1138,3
488,1700,4
-1,-1,1
1338,739,5
859,4261,6
667,1386,7
267,596,8
1168,1485,9
1292,535,10
771,1360,11
440,8618,12
703,6853,13
1211,15635,14
502,2093,15
1548,1901,16
550,614,17
1157,673,18
429,1249,19
448,6977,20
1120,14919,21
444,20043,22
1391,36310,23
881,31071,24
734,4521,25
627,1470,26
1319,2003,27
1337,2933,28
700,4177,29
545,9354,30
490,18437,32
645,22230,33
722,44080,34
681,2225,35
607,1533,36
1249,1563,37
55768,3244,38
52866,3555,39
1918,4758,40
-1,-1,31
818,10977,41
661,20189,42
841,23998,43
499,28218,44
