attach,http://node06.iotatoken.nl:14265 score: 55.699690615170965 scoreNorm: 0.4999591225162099
12029,0
31049,1
10834,2
33154,3
16042,4
1821,5
1368,6
3903,7
13286,8
21709,9
34550,10
7212,11
3849,12
5064,13
8802,14
3273,15
15425,16
2724,17
18754,18
17436,19
9076,20
7060,21
24007,22
9167,23
3692,24
5565,25
10736,26
14281,27
17542,28
10546,29
2328,30
14699,31
24342,32
6296,33
4533,34
15027,35
16433,36
7925,37
8266,38
14215,39
10387,40
13345,41
2189,42
12095,43
10929,44
