attach,http://mandelhost.de:14265 score: 58.56251900482178 scoreNorm: 0.30726666801662117
51099,79470,0
37310,97226,1
115326,167784,3
43923,331369,4
8530,377383,5
182257,617374,2
7745,829398,6
523117,387522,7
449657,561632,8
413025,678890,9
376488,827098,10
