attach,http://node01.iotatoken.nl:14265 score: 57.011982683454235 scoreNorm: 0.24312988070578745
493,4668,0
385,2735,1
752,2386,2
445,3646,3
12576,7091,4
17263,15231,5
5756,19678,6
512,19741,7
348,3019,8
6330,22981,9
2688,16349,10
2304,4123,11
10700,9085,12
3185,1890,13
1938,3202,14
1045,10817,15
4649,4435,16
4219,6188,17
4738,13429,18
20237,28622,19
11254,37522,20
22032,9562,21
6774,15641,22
8858,5487,23
2848,13885,24
4555,9355,25
5438,16247,26
9892,2947,27
2070,6206,28
468,919,29
1942,5185,30
1638,6156,31
7311,3281,32
1884,4565,33
1699,4787,34
558,8174,35
339,13774,36
537,1900,37
13445,12629,38
-1,-1,39
22889,13226,40
18939,16783,41
9813,14935,42
340,6395,43
659,6241,44
