attach,https://pow.iota.community:443 score: 51.25821053981781 scoreNorm: 0.218592689241008
1021,4724,0
958,15318,1
16344,1835,2
1283,14549,3
1047,5752,4
995,3714,5
917,3033,6
743,9425,7
4048,1135,8
1074,2491,9
768,2010,10
592,4830,11
30544,15064,12
13300,4225,13
844,11325,14
905,15411,15
1130,9053,16
5292,6248,17
18085,20627,18
15461,13200,19
840,5725,20
11986,13031,21
8562,5031,22
14413,7225,23
618,5641,24
826,4870,25
18350,10200,26
14081,7195,27
849,18022,28
3867,7985,29
4736,3832,30
899,1168,31
26808,4653,32
12035,9121,33
3407,9488,34
560,3681,35
5727,3873,36
504,12033,37
24929,20789,38
22928,4233,39
2356,5472,40
19987,29912,42
78792,55863,41
18663,51198,43
4905,71964,44
