attach,https://hanspetzersnode.org:14267 score: 14.391936195082963 scoreNorm: 0.07165844353566962
399,80,0
-1,-1,1
-1,-1,2
320,82,3
264,80,4
519,48,5
33339,70,6
378,47,7
13837,66,8
270,67,9
441,47,10
512,79,11
19269,6341,12
577,48,13
1622,66,14
645,63,15
608,79,16
12907,472,17
15322,60,18
372,91,19
424,48,20
441,64,21
472,58,22
388,65,23
780,71,24
523,45,25
1336,58,26
521,77,27
16517,76,28
334,49,29
784,45,30
506,57,31
541,57,32
637,76,33
350,45,34
573,58,35
715,76,36
505,57,37
17091,366,38
580,63,39
459,45,40
4544,57,41
541,62,42
