attach,https://pow.iota.community:443 score: 56.75625428557396 scoreNorm: 0.4875987069399985
5344,0
12431,1
6055,2
9723,3
7516,4
5832,5
15957,6
15500,7
16250,8
4524,9
15609,10
8353,11
6774,12
26488,13
2272,14
10376,15
4506,16
14703,17
5132,18
10533,19
2414,20
21497,21
8243,22
35470,23
13195,24
12852,25
2268,26
10580,27
18633,28
17392,29
8920,30
20776,31
4912,32
21624,33
6628,34
4709,35
19753,36
11782,37
23938,38
39656,39
2821,40
10940,41
7079,42
7780,43
5032,44
