attach,https://wallet1.iota.town:443 score: 116.39951763153077 scoreNorm: 1
9108,0
8488,1
97384,2
90637,3
70637,4
29385,5
23533,6
6113,7
10916,8
44343,9
88641,10
45075,11
30474,12
7926,13
58936,14
4565,15
8772,16
11984,17
36441,18
6660,19
134072,20
104255,21
105755,22
141501,23
189173,24
114353,26
86209,27
236059,25
72341,28
17547,30
105440,29
30467,31
20652,32
24388,33
7645,34
19778,35
26569,36
46667,37
81969,38
78003,39
43480,40
64540,41
95970,42
132245,43
134724,44
