attach,http://207.180.202.219:14265 score: 96.81789126534878 scoreNorm: 0.421885911488716
-1,-1,0
-1,-1,1
-1,-1,2
-1,-1,3
-1,-1,4
1570342964715,1570343103117,1570343139672,5
-1,-1,6
-1,-1,9
-1,-1,8
-1,-1,7
-1,-1,10
-1,-1,11
1570343385132,1570343530463,1570343536255,12
-1,-1,13
-1,-1,14
1570343565267,1570343699353,1570343709009,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,20
-1,-1,19
-1,-1,21
-1,-1,22
1570344075967,1570344112938,1570344121446,23
1570344166040,1570344200259,1570344209522,24
1570344226115,1570344240199,1570344267516,25
1570344286158,1570344299464,1570344305537,26
1570344376498,1570344455362,1570344487582,28
-1,-1,27
-1,-1,30
-1,-1,29
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
1570344947250,1570345114596,1570345167141,37
1570345067328,1570345188587,1570345194816,38
-1,-1,40
-1,-1,39
1570345247600,1570345385971,1570345445818,41
1570345307797,1570345445272,1570345458385,42
