attach,https://dyn.tangle-nodes.com:443 score: 59.66966649627686 scoreNorm: 0.2802717146397187
1100,15393,0
1011,27521,1
-1,-1,2
1213,12573,3
-1,-1,4
1361,1942,5
-1,-1,6
-1,-1,7
4780,21379,8
964,3668,9
1072,6391,10
-1,-1,11
-1,-1,12
-1,-1,13
1124,4304,14
1928,16115,15
532,22248,16
-1,-1,17
3702,8860,18
-1,-1,19
2660,1084,20
-1,-1,21
1075,7127,22
1113,1056,23
-1,-1,24
1215,1778,25
1148,1060,26
949,10973,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
1342,4546,35
799,5138,36
1250,13727,37
632,2835,38
1119,18507,39
-1,-1,40
-1,-1,41
-1,-1,42
884,27178,43
-1,-1,44
