attach,http://213.136.79.161:14265 score: 7.003947808693079 scoreNorm: 0.0631442562344041
779171,0
1143256,1
1117570,2
1410139,3
1465238,4
1289000,5
1293471,6
1321839,7
1316091,8
1127908,9
1123890,10
1171428,11
1097082,12
1114572,13
1145532,14
1122102,15
1107144,16
1079376,17
1103495,18
1084344,19
1118564,20
1068090,21
1078862,22
1006602,24
998288,25
1072265,26
1082094,27
988150,31
991708,30
1181759,28
1038450,32
1122904,33
1095646,34
1078676,35
1083602,36
1034037,37
1043041,38
2118045,23
1141724,39
1244135,40
1215723,41
1292937,42
1316102,43
1429827,44
2585619,29
