attach,http://207.180.224.65:14265 score: 82.08605113998055 scoreNorm: 0.7400487250947286
4600,0
18106,1
63780,2
65296,3
46788,4
30801,5
4307,6
32597,7
7552,8
6093,9
46266,10
78912,11
109000,12
144291,13
164240,14
147000,15
189357,16
249272,17
203121,18
213288,19
254392,20
306886,21
207375,23
197349,24
146038,25
209311,26
474466,22
152715,28
127868,29
182715,30
387634,27
236151,31
191022,32
181588,33
167552,34
118947,35
87100,36
149760,37
146272,38
132257,39
181108,40
258656,41
212619,42
252248,43
297524,44
