attach,VSOBRSCC9RPVTVWVUCQUUOSGDPUXOTIPUBNXHA9MRRXZQGFZQZETTDVVFLUVZ9KIULYNXVOPGTACOKUNJ https://wallet1.iota.town:443 score: 0.5200810749593758
10895,0
13543,1
26036,2
12817,3
10291,4
5419,5
19435,6
9405,7
22007,8
24393,9
49870,10
60822,11
84315,12
94574,13
67695,14
-1,15
107126,16
-1,17
-1,18
93017,19
-1,20
117264,21
-1,22
150290,23
-1,24
-1,25
113395,26
-1,27
91941,28
140191,29
101768,30
118018,31
-1,32
-1,33
-1,34
125359,35
139328,36
156987,37
-1,38
-1,39
-1,40
-1,41
-1,42
-1,43
-1,44
