attach,PGDUHEDMJPFKLKMWZEEUETPPNFCBFQTPQUTSZDIRJMFJQNCUANLKZFXWJJJSERPNNYMNVLBXJAHXFGLQT https://ultranode.iotatoken.nl:443
-1,0
-1,4
348627,2
-1,5
-1,6
-1,3
689072,1
-1,7
-1,11
-1,12
-1,8
-1,13
-1,16
-1,17
-1,18
-1,9
-1,19
-1,15
-1,21
-1,22
518032,10
-1,14
-1,20
-1,26
-1,27
-1,29
-1,31
-1,32
-1,34
-1,33
-1,23
-1,35
512238,24
-1,25
-1,37
-1,28
360188,30
-1,40
-1,43
-1,42
-1,39
-1,38
-1,44
-1,36
-1,41
