attach,https://trinity.iota-tangle.io:14265 score: 60.99124105274677 scoreNorm: 0.5177786144746027
1038,0
1548,1
1083,2
3346,3
2332,4
2570,5
1800,6
989,7
2206,8
1772,9
1543,10
2090,11
2461,12
1066,13
7523,14
3778,15
1344,16
1935,17
2935,18
2915,19
2642,20
2320,21
4776,22
1363,23
1582,24
2983,25
2709,26
1060,27
2967,28
1322,29
1189,30
2227,31
3530,32
1920,33
1340,34
3228,35
940,36
1187,37
640,38
1664,39
1997,40
2351,41
2417,42
2331,43
2151,44
