attach,https://hanspetzersnode.org:14267 score: 63.87816559150815 scoreNorm: 0.2788227668981905
388,70,0
1305,79,1
648,47,2
722,61,3
3701,79,4
728,67,5
511,49,6
665,66,7
538,61,8
1389,80,9
551,49,10
652,80,11
28138,501,12
5508,47,13
782,61,14
351,61,15
366,80,16
601,67,17
679,48,18
5179,80,19
605,80,20
477,68,21
409,79,22
231,66,23
8036,6138,24
475,49,25
383,80,26
30358,87,27
1064,48,28
314,61,29
537,80,30
-1,-1,31
-1,-1,32
582,50,33
745,61,34
320,52,35
682,47,36
-1,-1,37
380,80,38
340,79,39
653,66,40
292,48,41
40321,428,43
80805,4179,42
404,67,44
