attach,https://iotanode.world:14267 score: 35.67715498916058 scoreNorm: 0.14463307390044527
49265,0
85129,1
67989,2
65801,3
70860,4
25101,5
31936,6
30220,7
150724,8
106547,9
120192,10
67440,11
161155,12
209661,13
277803,15
299313,16
322832,17
-1,14
-1,19
382464,18
-1,24
-1,23
-1,22
471210,20
-1,21
-1,26
-1,27
-1,25
-1,28
351366,29
-1,33
-1,32
430173,30
432240,31
-1,34
-1,35
-1,40
-1,39
561358,36
568484,37
-1,38
-1,41
-1,42
-1,43
-1,44
