attach,http://89.163.242.213:14265 score: 226.75814853922526 scoreNorm: 1
14318,5896,0
1070,3195,1
1314,2056,2
1108,7262,3
1534,2095,4
860,3786,5
2607,3951,6
792,792,7
685,5220,8
926,3284,9
5827,1370,10
6182,20085,11
2280,2165,12
1142,1478,13
425,3712,14
924,3656,15
3246,4288,16
432,1991,17
714,5813,18
1147,9148,19
2797,5793,20
1135,30139,21
4837,1516,22
2647,9467,23
14538,40865,24
7212,17840,25
4397,2568,26
2612,2604,27
17844,14424,28
750,3114,29
7583,34984,30
40848,42882,31
58193,45651,32
33574,21343,33
39128,29841,34
83038,41260,35
96369,59449,36
-1,-1,37
-1,-1,38
-1,-1,39
57929,73333,40
64146,87957,41
-1,-1,43
109164,91565,42
-1,-1,44
