attach,http://207.180.252.59:14265 score: 64.17520103176005 scoreNorm: 0.2639607334762899
1125,45,0
8247,28230,1
450,41,2
437,49,3
571,35,4
827,58,5
933,41,6
277,41,7
279,47,8
6617,54,9
498,33,10
614,27,11
1319,47,12
534,44,13
1340,324,14
631,34,15
425,33,16
627,38,17
3989,47,18
364,40,19
741,26,20
2052,47,21
748,49,22
1446,35,23
7800,30,24
8078,47,25
2195,36,26
797,34,27
1325,40,28
26988,2009,29
621,34,30
16503,6657,31
1839,38,32
687,45,33
6032,49,34
520,30,35
615,52,36
592,34,37
359,39,38
1133,37,39
697,40,40
5242,53,41
701,46,42
