attach,https://iota.chain.garden:443 score: 3.5825798455492595 scoreNorm: 0.0147356048530421
1121,120,0
1092,119,1
664,131,2
597,125,3
1007,194,4
875,140,5
1040,111,6
1068,120,7
1589,147,8
903,144,9
915,145,10
811,118,11
998,147,12
1061,111,13
804,127,14
598,151,15
970,179,16
1176,110,17
864,129,18
671,115,19
767,137,20
1036,183,21
812,131,22
934,206,23
710,124,24
602,117,25
804,140,26
1123,151,27
1793,138,28
1146,139,29
1258,132,30
926,133,31
1244,147,32
1496,138,33
1029,161,34
932,139,35
933,154,36
700,129,37
754,120,38
737,152,39
713,144,40
1044,134,41
758,128,42
1197,149,43
660,132,44
