attach,https://nodes.thetangle.org:443 score: 97.7119911999649 scoreNorm: 0.40286623709688707
505,2351,0
3287,8736,1
949,5971,2
1239,450,3
332,1203,4
707,8885,5
944,11078,6
699,7499,7
1175,684,8
845,3104,9
509,1143,10
-1,-1,11
427,1800,12
457,3534,13
748,6795,14
707,7187,15
804,1710,16
1534,4008,17
400,3437,18
947,621,19
539,917,20
597,7449,21
665,16681,22
491,35056,23
626,15323,24
847,33011,25
404,2809,26
1220,3047,27
598,840,28
665,456,29
6686,8156,30
304,3598,31
1070,1808,32
408,2814,34
511,482,35
554,1657,37
359,42828,36
654,11185,38
628,2730,39
-1,-1,40
496,6001,41
-1,-1,33
544,2105,42
