attach,http://node03.iotatoken.nl:14265 score: 9.140094898901362 scoreNorm: 0.10078351357716285
-92792,0
-103006,1
-99749,2
-94438,3
-99653,4
-101439,5
-101356,6
-102872,7
-102814,8
-97318,9
-103015,10
-100095,11
-103640,12
-101984,13
-101415,14
-99266,15
-102994,16
-98765,17
-99435,18
-100372,19
-99883,20
-102729,21
-101441,22
-102385,23
-104206,24
-103307,25
-97595,26
-98069,27
-102683,28
-99413,29
-99732,30
-86161,31
-103022,32
-94371,33
-100443,34
-103082,35
-101238,36
-104042,37
-92558,38
-103036,39
-97956,40
-100338,41
-100712,42
-94283,43
-99674,44
