attach,https://iota1.chain.garden:443 score: 10.262696848410755 scoreNorm: 0.11316191556002726
13745,0
13838,1
14419,2
31853,3
8707,4
20629,5
51729,6
13478,7
59809,8
13254,9
16280,10
13718,11
27604,12
33334,13
6693,14
2262,15
23596,16
24860,17
30419,18
17671,19
5068,20
31948,21
10932,22
43283,23
36241,24
28534,25
9220,26
3785,27
6419,28
37388,29
9133,30
43536,31
29113,32
24070,33
35624,34
87238,35
53698,36
53458,37
48428,38
8840,39
48288,40
4015,41
14873,42
15972,43
12736,44
