attach,https://dyn.tangle-nodes.com:443 score: 90.75914068222045 scoreNorm: 0.425278747461345
3619,170,0
413,234,1
751,208,2
773,206,3
1266,287,4
7568,188,5
1374,19863,6
1074,228,7
1035,208,8
1526,521,9
1515,229,10
944,192,11
4709,282,12
-1,-1,13
1534,6428,14
1243,234,15
-1,-1,16
1310,1244,17
25026,312,18
575,313,19
610,286,20
-1,-1,21
731,212,22
1631,205,23
-1,-1,24
1476,584,25
-1,-1,26
-1,-1,27
1381,9030,28
12600,1098,29
1874,242,30
-1,-1,31
1360,33596,32
980,7513,33
1040,220,34
-1,-1,35
-1,-1,36
1106,8517,37
903,4322,38
777,205,39
-1,-1,40
18648,208,41
1113,1543,42
1433,216,43
614,285,44
