attach,https://nodes.thetangle.org:443 score: 102.70180817679072 scoreNorm: 0.48123964170583095
521,99,0
571,125,1
717,185,2
352,720,3
379,147,4
412,195,5
473,112,6
812,713,7
332,93,8
432,84,9
513,139,10
548,725,11
478,136,12
260,180,13
475,95,14
1480,144,15
583,154,16
437,119,17
504,157,18
635,825,19
509,167,20
595,104,21
610,20298,22
430,774,23
505,228,24
338,91,25
794,96,26
418,819,27
725,141,28
575,153,29
525,137,30
684,175,31
418,128,32
688,92,33
443,167,34
790,743,35
368,125,36
271,289,37
444,766,38
635,153,39
565,143,40
478,100,41
-1,-1,42
