attach,http://5.189.135.61:14265 score: 6.82104466482474 scoreNorm: 0.028991983196070055
1539,39,0
311,28,1
930,45,2
343,57,3
850,36,4
385,54,5
244,44,6
610,56,7
436,47,8
647,34,9
584,43,10
1203,42,11
592,27,12
650,35,13
997,41,14
991,34,15
757,47,16
3310,34,17
1053,43,18
594,48,19
594,41,20
639,41,21
484,47,22
385,47,23
824,38,24
591,48,25
753,35,26
831,35,27
507,40,28
546,45,29
650,34,30
518,47,31
1409,47,32
640,47,33
484,54,34
673,48,35
-1,-1,36
-1,-1,37
-1,-1,38
1424,58,39
-1,-1,40
1456,30,41
865,30,42
663,45,43
845,45,44
