attach,https://node01.gubiota.ch:443 score: 40.087048555357626 scoreNorm: 0.1801411273313275
53521,43669,0
27125,7616,1
-1,-1,2
64095,290,3
13547,103,4
969,112,5
897,93,6
1839,116,7
1720,86,8
10973,1084,9
1238,106,10
591,69,11
1085,84,12
940,103,13
942,327,14
913,103,15
843,85,16
1201,68,17
890,86,18
1622,80,19
559,92,20
879,89,21
4114,94,22
1053,110,23
714,104,24
785,72,25
34140,82,26
16680,86,27
756,83,28
1160,92,29
742,108,30
514,104,31
422,98,32
743,70,33
809,70,34
1248,89,35
421,96,36
517,50,37
1780,92,38
-1,-1,39
40736,519,41
111391,4981,40
10163,271,42
680,68,43
