attach,http://174.141.204.79:14265 score: 2.168621349410005 scoreNorm: 0.009745239640130394
3704,402,0
1925,274,1
1200,228,2
25468,11686,3
1885,312,4
2808,217,5
5640,849,6
2427,242,7
3161,227,8
2004,270,9
1744,234,10
1391,246,11
1818,220,12
1381,223,13
1017,215,14
1041,233,15
1711,534,16
1743,219,17
1283,228,18
1676,234,19
1659,216,20
1525,216,21
1005,225,22
2245,225,23
1364,400,24
16545,225,25
8167,287,26
23145,1412,27
3578,727,28
28778,314,29
2309,1131,30
6492,222,31
6769,266,32
2123,1020,33
52939,47413,34
11658,229,35
15691,231,36
9999,1027,37
14231,259,38
767,225,39
2036,863,40
1825,214,41
1380,222,42
