attach,http://node02.iotatoken.nl:14265 score: 76.96453118460519 scoreNorm: 0.32061367211494796
396,64,0
634,64,1
406,64,2
855,64,3
533,64,4
705,64,5
964,64,6
991,64,7
843,1566,8
661,64,9
681,350,10
545,64,11
519,67,12
451,64,13
2211,64,14
681,64,15
758,64,16
441,64,17
497,64,18
2258,3245,19
641,64,20
491,65,21
561,65,22
326,64,23
396,65,24
347,64,25
336,64,26
510,64,27
426,65,28
655,64,29
555,68,30
434,64,31
708,64,32
391,63,33
709,1916,34
542,4219,35
763,63,36
423,63,37
485,63,38
659,63,39
965,63,40
7591,63,41
751,64,42
