attach,https://nodes.thetangle.org:443 score: 85.68276685393259 scoreNorm: 0.3688256239526749
763,957,0
898,1883,1
610,1034,2
618,5993,3
882,2568,4
712,47952,5
1180,9984,6
803,14511,7
850,19161,8
-1,-1,9
759,42720,10
741,18725,11
563,1620,12
543,2918,13
592,11607,14
492,2426,15
652,379,16
546,6326,17
477,426,18
558,9384,19
936,10205,20
661,1482,21
592,3382,22
702,1131,23
294,862,24
680,570,25
581,6541,26
525,24479,27
1369,19410,28
1574,29988,29
639,3459,30
720,1746,31
546,4382,33
828,46266,32
-1,-1,34
371,1383,35
1606,10215,36
497,10461,37
556,18844,38
9934,10652,39
508,5145,40
521,1184,41
480,11599,42
