attach,https://node-iota.org:14267 score: 42.89114575088024 scoreNorm: 0.37796891453946285
85086,0
146435,1
133816,2
168688,3
154289,4
149335,5
238437,6
209602,7
252905,8
228586,9
248154,10
168301,11
146247,12
189424,13
208280,14
184341,15
162390,16
135944,17
90304,18
92459,19
179535,21
276752,20
235079,22
254837,23
202247,24
276176,25
290742,26
-1,31
-1,27
-1,30
-1,29
310110,28
10958,32
-1,35
-1,33
-1,34
22338,36
61863,37
22144,38
31954,39
30888,40
25807,41
14147,42
18054,43
