attach,http://5.189.141.225:14265 score: 99.5290423965454 scoreNorm: 0.8770780882905745
71923,0
84338,1
372246,2
327210,4
385483,5
384410,6
756682,3
506337,7
509879,8
578528,9
551160,10
591630,11
659461,12
664980,13
642143,14
756514,15
791082,16
864824,17
901386,18
910219,19
1001932,20
1069180,21
1080204,22
1120531,23
1158608,24
1158626,25
1126439,26
1123128,27
1108775,28
1101736,29
989417,30
1005561,31
1014265,32
1068197,33
1168974,34
1239602,35
1308600,36
1339346,37
1463660,38
1522382,39
1594777,40
1622762,41
1729376,42
1754975,43
1787053,44
