attach,http://213.136.79.161:14265 score: 6.246394784730017 scoreNorm: 0.055044998571084185
1136248,0
1123277,1
1084945,2
1103555,3
1113076,4
1107087,5
1114026,6
1110091,7
1009718,9
1006986,10
1024203,11
1065287,12
981940,16
1037319,17
1068758,18
1107858,19
1066187,20
1038870,21
1044710,22
2138535,8
1265542,23
1239119,24
1244129,25
1295340,26
1328570,27
1463117,28
2588327,13
2578660,14
2608022,15
1630867,29
1594496,30
1387783,31
1403814,32
1579254,33
1619607,34
1625915,35
1633882,36
1577931,37
1533207,38
1662633,39
1708979,40
1805047,41
1804813,42
1814200,43
1977415,44
