attach,https://node.vanityfive.de:443 score: 7.382445400740031 scoreNorm: 0.06655661017951116
32016,0
24364,1
15981,2
5984,3
3680,4
7583,5
30595,6
11359,7
13281,8
6322,9
3330,10
10473,11
12130,12
10111,13
2902,14
9506,15
10016,16
11470,17
41225,18
15038,19
13854,20
5679,21
15918,22
5817,23
21599,24
13847,25
4991,26
12779,27
21317,28
18375,29
7356,30
9372,31
14183,32
14573,33
12040,34
13858,35
9443,36
5566,37
15864,38
7874,39
10075,40
7476,41
1080,42
3451,43
5040,44
