attach,http://173.249.50.233:14265 score: 39.21737900644362 scoreNorm: 0.18376460703802633
73082,559,0
71722,77218,1
11197,97372,2
14426,65517,3
35421,29316,4
24735,11387,5
33440,57,6
875,53,7
34150,5388,8
27341,1846,9
3032,55328,10
108315,19284,11
37995,91391,13
-1,-1,12
-1,-1,14
-1,-1,15
78004,18743,16
36510,62897,17
-1,-1,18
-1,-1,19
-1,-1,20
117540,18196,21
113086,33310,22
15628,101290,23
60490,71026,24
4321,102708,25
3582,44004,26
27662,45169,27
24883,57,28
7861,27597,29
48996,72563,30
61444,1709,31
32625,8571,32
672,49,33
-1,-1,35
80089,98755,34
8981,99105,36
-1,-1,37
118830,27711,38
-1,-1,39
4237,91528,40
-1,-1,41
54133,18568,42
2411,34627,43
-1,-1,44
