attach,http://5.189.141.225:14265 score: 96.47434570312501 scoreNorm: 0.4520590278221442
1025,41,0
1403,11132,1
8486,68587,2
1345,36,3
1578,42,4
17930,34456,5
7131,38991,6
3411,75,7
20562,6257,8
5882,31,9
6874,899,10
1666,25760,11
4540,21348,12
12611,1124,13
4510,77,14
460,658,15
14361,16870,16
2306,42846,17
10060,44361,18
5581,73644,19
2699,53889,20
42261,2589,22
71196,40563,21
1901,58048,23
1196,61001,24
31100,12678,25
28481,26986,27
101105,77784,26
42715,36873,28
13884,74292,29
126912,5166,30
69030,16877,31
59053,38184,33
120193,114717,32
114671,10062,34
-1,-1,36
-1,-1,35
1105,40,37
9955,44,38
1217,45,39
9109,15152,40
-1,-1,41
1125,561,42
458,57,43
-1,-1,44
