attach,http://node02.iotatoken.nl:14265 score: 65.9373766871861 scoreNorm: 0.2755690292792575
303,41,0
573,43,1
919,42,2
487,41,3
348,41,4
429,41,5
1627,42,6
450,42,7
478,40,8
889,39,9
1502,1037,10
716,40,11
1084,40,12
755,40,13
751,42,14
619,44,15
354,46,16
601,49,17
730,47,18
1799,49,19
756,73,20
413,50,21
922,51,22
468,52,23
632,53,24
444,53,25
569,55,26
400,54,27
14192,1139,28
358,54,29
1990,55,30
514,54,31
817,54,32
648,3645,33
569,55,34
692,55,35
6133,3986,36
748,57,37
303,56,38
1511,57,39
859,56,40
2731,57,41
663,56,42
