attach,9HYXRRZMYLDIESSGYEXISOMOFDADXXTTQMRBWXCCPTABAWWSGOLVKHECXJHHYZOAQYFYEZIRPBSYAFFYK https://nodes.thetangle.org:443
2391,0
965,1
3219,2
4270,3
3010,4
2496,5
4834,6
1530,7
3146,8
2468,9
-1,10
9150,11
1978,12
2362,13
4263,14
6880,15
1867,16
4766,17
4161,18
5152,19
3357,20
1538,21
3050,22
3047,23
1695,24
2139,25
2234,26
2458,27
1525,28
2783,29
1760,30
5686,31
4612,32
1888,33
3960,34
4143,35
2138,36
3196,37
4329,38
1626,39
809,40
2212,41
2907,42
2698,43
2933,44
