attach,http://speedynode.ddns.net:14265 score: 18.353354728658786 scoreNorm: 0.14207975230198863
63599,0
49061,1
144530,2
-1,3
-1,4
-1,6
-1,5
-1,7
-1,9
-1,8
152430,10
-1,11
-1,12
163864,13
133490,14
114312,15
91675,16
-1,17
101944,18
-1,19
-1,20
-1,21
143744,22
144236,23
123693,24
-1,25
-1,26
-1,28
195400,27
-1,29
181201,30
72960,31
-1,32
131791,33
-1,34
118643,35
113746,36
23546,37
41699,38
3258,39
5222,40
20883,41
52620,42
31101,43
30729,44
