attach,http://iota-fn01.sairai.de:14265 score: 11.590322632444767 scoreNorm: 0.08530975696087228
18747,0
14761,1
28399,2
12144,3
3546,4
24130,5
10762,6
13611,7
16017,8
13673,9
10667,10
15111,11
11661,12
4438,13
19256,14
37072,15
3308,16
4793,17
7353,18
18868,19
9798,20
14377,21
19001,22
10025,23
14704,24
32235,25
37742,26
9887,27
12609,28
3899,29
21673,30
25035,31
7071,32
8035,33
28840,34
4787,35
5323,36
4229,37
7449,38
35647,39
5476,40
14504,41
11847,42
16081,43
10227,44
