attach,https://nodes.thetangle.org:443 score: 104.21824213263693 scoreNorm: 0.44095887047193166
564,11642,0
847,1794,1
541,1274,2
454,10591,3
809,614,4
375,954,5
1358,14720,6
637,8364,7
436,21877,8
569,20125,9
407,16087,10
296,582,11
675,4499,12
555,4592,13
751,1782,14
809,268,15
1062,29996,16
480,7791,17
1252,18061,18
517,22722,19
291,1353,20
928,8645,21
445,714,22
1807,5821,24
-1,-1,23
1078,1953,25
2291,3603,26
1609,19072,27
1701,2987,28
-1,-1,29
1023,1816,30
14565,1581,31
5660,1034,32
868,9070,33
2090,39481,34
891,12633,35
727,19279,36
589,2359,37
613,1772,38
1436,9032,39
957,490,41
-1,-1,40
611,4142,42
1123,10760,43
8504,13741,44
