attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 JUKCHS9VAKYKAKBIQHRRWNLJKRVGFLBVMMXJSQ9DJJVTATWLNJYORRYHVLNQTTENAEYAYVOXDKQKVVJDQ
557,0
1087,1
18646,2
-1,3
-1,4
-1,5
-1,6
