attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 QGNWELGXOKWO9FSHXILBNNXWWDFSFOIQVNWZZTAYAVXDNJQTKGAIRV9UDPYJIZIRZXVLRX9CDKJPVBBUO
439,0
566,1
6734,2
24852,3
-1,4
-1,5
-1,6
