attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 BUC9UVLNRSWTNBKBBYYW9MXSKCZBYGWGYJFQDZLPSCKDOBLXWC9NEHXNEDCBJMK9QIETIFKXVRXDGIDSP
-1,0
-1,1
