attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 SF9PYLJOWXEFLDVROJPAJCALLHOQCOMOVBBJVJJAL9HOOYAPRCSIPSFZ9GGHEFMHM9AFQQBNZYHZRVXEI
514,0
529,1
30721,2
-1,3
-1,4
